Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
read bool_AT glass position tag,DB1030.DBX0.0,Boolean,1,R/W,100,,,,,,,,,,read bool_AT glass position tag@OE.ST0.DB1030.0.0,
read bool_AT shade position tag,DB1030.DBX0.1,Boolean,1,R/W,100,,,,,,,,,,read bool_AT shade position tag@OE.ST0.DB1030.0.1,
read bool_AT in glass wand lower pos tag,DB1030.DBX0.2,Boolean,1,R/W,100,,,,,,,,,,read bool_AT in glass wand lower pos tag@OE.ST0.DB1030.0.2,
read bool_AT in glass wand up pos tag,DB1030.DBX0.3,Boolean,1,R/W,100,,,,,,,,,,read bool_AT in glass wand up pos tag@OE.ST0.DB1030.0.3,
read bool_AT in sunshad wand lower pos tag,DB1030.DBX0.4,Boolean,1,R/W,100,,,,,,,,,,read bool_AT in sunshad wand lower pos tag@OE.ST0.DB1030.0.4,
read bool_AT in sunshad wand up pos tag,DB1030.DBX0.5,Boolean,1,R/W,100,,,,,,,,,,read bool_AT in sunshad wand up pos tag@OE.ST0.DB1030.0.5,
read bool_AT in wand home pos tag,DB1030.DBX0.6,Boolean,1,R/W,100,,,,,,,,,,read bool_AT in wand home pos tag@OE.ST0.DB1030.0.6,
read bool_LVDT's Extended tag,DB1030.DBX0.7,Boolean,1,R/W,100,,,,,,,,,,read bool_LVDT's Extended tag@OE.ST0.DB1030.0.7,
read bool_bolt check 1 tag,DB1030.DBX1.0,Boolean,1,R/W,100,,,,,,,,,,read bool_bolt check 1 tag@OE.ST0.DB1030.1.0,
read bool_bolt check 2 tag,DB1030.DBX1.1,Boolean,1,R/W,100,,,,,,,,,,read bool_bolt check 2 tag@OE.ST0.DB1030.1.1,
read bool_bolt check 3 tag,DB1030.DBX1.2,Boolean,1,R/W,100,,,,,,,,,,read bool_bolt check 3 tag@OE.ST0.DB1030.1.2,
read bool_bolt check 4 tag,DB1030.DBX1.3,Boolean,1,R/W,100,,,,,,,,,,read bool_bolt check 4 tag@OE.ST0.DB1030.1.3,
read bool_bolt check 5 tag,DB1030.DBX1.4,Boolean,1,R/W,100,,,,,,,,,,read bool_bolt check 5 tag@OE.ST0.DB1030.1.4,
read bool_bolt check 6 tag,DB1030.DBX1.5,Boolean,1,R/W,100,,,,,,,,,,read bool_bolt check 6 tag@OE.ST0.DB1030.1.5,
read bool_bolt check 7 tag,DB1030.DBX1.6,Boolean,1,R/W,100,,,,,,,,,,read bool_bolt check 7 tag@OE.ST0.DB1030.1.6,
read bool_bolt check 8 tag,DB1030.DBX1.7,Boolean,1,R/W,100,,,,,,,,,,read bool_bolt check 8 tag@OE.ST0.DB1030.1.7,
read bool_start tag,DB1030.DBX2.0,Boolean,1,R/W,100,,,,,,,,,,read bool_start tag@OE.ST0.DB1030.2.0,
read bool_abort tag,DB1030.DBX2.1,Boolean,1,R/W,100,,,,,,,,,,read bool_abort tag@OE.ST0.DB1030.2.1,
read bool_LVDT's Retracted tag,DB1030.DBX2.2,Boolean,1,R/W,100,,,,,,,,,,read bool_LVDT's Retracted tag@OE.ST0.DB1030.2.2,
read bool_manual barcode print tag,DB1030.DBX2.3,Boolean,1,R/W,100,,,,,,,,,,read bool_manual barcode print tag@OE.ST0.DB1030.2.3,
read bool_ss servo at open tag,DB1030.DBX2.4,Boolean,1,R/W,100,,,,,,,,,,read bool_ss servo at open tag@OE.ST0.DB1030.2.4,
read bool_ss servo at close tag,DB1030.DBX2.5,Boolean,1,R/W,100,,,,,,,,,,read bool_ss servo at close tag@OE.ST0.DB1030.2.5,
