Set Power Supply	13.5V	13.50
Send LIN Message for inalfa SCU	Enter Diagnostic Mode QC	
Send LIN Message for inalfa SCU	Check Software Version	
Send LIN Message for inalfa SCU	Check Hardware Version	
Send LIN Message for inalfa SCU	Check Cal file Version	
Send LIN Message for inalfa SCU	Un-Calibrate SCU	
Send LIN Message for inalfa SCU	Inalfa SCU Teach	
Send LIN Message for inalfa SCU	Check SCU RP and RF status	
Express Glass Vent Open		PS Voltage 13.50, Min Avg Current 0.00, Max Avg Current 0.00, Min Run Time 0.00, Max Run Time 0.00, Min Speed 0.00, Max Speed 0.00, AP Data % of Threshold 0.00, Travel Distance 0.00, AP Data Type 91/61, Check Current? FALSE, Check Run Time? FALSE, Check Speed? FALSE, Express Motion? FALSE, Check Sound Test? FALSE, Check Position? FALSE, Collect AP Data? FALSE, Initial Position 0, End Position 0, Go To Position 0, Max max Current 0.00, Min max Current 0.00, Check max Current? FALSE, Check Sound FALSE, Max Sound (dB) 0.00, Min Sound (dB) 0.00
Send LIN Message for inalfa SCU	Check hall position glass and sunshade	Glass Position :682, was Checked :TRUE, Sunshade Position :3972, was Checked :TRUE
AT Set to Vent ATS pos		NA
AT Set to Vent Home pos		NA
Send LIN Message for inalfa SCU	Go to position glass, Glass Open	Go To Position :7903
Send LIN Message for inalfa SCU	Check hall position glass and sunshade	Glass Position :7903, was Checked :TRUE, Sunshade Position :3968, was Checked :TRUE
Send LIN Message for inalfa SCU	Set Cycle Counts	Vent Cycles :16, Slide Cycles :16
Send LIN Message for inalfa SCU	Check Cycle Counts	
AT Set Glass Wand Up Bit		NA
Send LIN Message for inalfa SCU	Go to position glass, Glass Close	Go To Position :93
AT Get Side ATS data		NA
Send LIN Message for inalfa SCU	Check hall position glass and sunshade	Glass Position :7903, was Checked :TRUE, Sunshade Position :7343, was Checked :TRUE
AT Set Sunshade Wand Up Bit		NA
Send LIN Message for inalfa SCU	Go to position sunshade, Rollo Close	Go To Position :80
Send LIN Message for inalfa SCU	Check hall position glass and sunshade	Glass Position :7903, was Checked :TRUE, Sunshade Position :7339, was Checked :TRUE
AT Get Rollo ATS data		NA
AT Set Wand Home Position		NA
Send LIN Message for inalfa SCU	Go to position glass, Glass Close	Go To Position :93
Send LIN Message for inalfa SCU	Check hall position glass and sunshade	Glass Position :93, was Checked :TRUE, Sunshade Position :7340, was Checked :TRUE
Send LIN Message for inalfa SCU	Set Cycle Counts	Vent Cycles :12, Slide Cycles :12
Send LIN Message for inalfa SCU	Check Cycle Counts	
AT Check Data Glass		PS Voltage :13.50, Glass AP Force Max Limit :100.00, Sunshade AP Force Max Limit :100.00, Sunshade 02 AP Force Max Limit :100.00
